FirstName,LastName,DisplayName,UserPrincipalName,SamAccountName,Email,Department,Title,Office,Company,Country,City,State,PostalCode,StreetAddress,TelephoneNumber,Mobile,EmployeeID,Manager,Description,Created,LastLogon,PasswordLastSet,AccountExpires,Locked,PwdNeverExpires,proxyAddresses,mailNickname,userAccountControl,employeeType,initials,titleCode,homeDirectory,homeDrive,scriptPath,profilePath,lastBadPasswordAttempt,badPwdCount,msExchHideFromAddressLists,extensionAttribute1,extensionAttribute2,extensionAttribute3
Melissa,Sullivan,Melissa Sullivan,msullivan@phinit.com,msullivan,msullivan@phinit.com,Support,Specialist,Branch East,PhinIT,USA,New Melissaside,Florida,41403,198 Christopher Tunnel,425.600.0062,7764170770,56102,max.mustermann@phinit.com,Specialist in Support,2024-01-13 17:20:29,2024-07-09 17:20:29,2024-01-18 17:20:29,,False,False,SMTP:msullivan@phinit.com;smtp:melissa.sullivan@alias.phinit.com,msullivan,514,Contractor,MS,TC515,\\fileserver\home\msullivan,H:,logon.bat,\\server\profiles\msullivan,2024-06-30 17:20:29,9,False,throughout,least,mission
Michael,Walker,Michael Walker,mwalker@psscripts.com,mwalker,mwalker@psscripts.com,Sales,Analyst,Branch East,PSscripts,USA,Grahamview,Wyoming,63197,040 Johnson Manor Suite 086,(169)889-2310x29171,001-057-691-4709x8027,43842,jane.smith@psscripts.com,Analyst in Sales,2023-09-18 11:20:57,2023-11-27 11:20:57,2023-09-23 11:20:57,,False,False,SMTP:mwalker@psscripts.com;smtp:michael.walker@alias.psscripts.com,mwalker,544,Intern,MW,TC645,\\fileserver\home\mwalker,H:,logon.bat,\\server\profiles\mwalker,2023-10-24 11:20:57,10,True,position,imagine,may
Michael,Jones,Michael Jones,mjones@phscripts.com,mjones,mjones@phscripts.com,Finance,Engineer,Regional Office,PHscripts,USA,Dillonbury,New Jersey,67619,501 Sarah Coves Suite 223,169.735.4885,(637)152-1677x666,70733,john.doe@phscripts.com,Engineer in Finance,2024-02-01 09:39:42,2024-11-10 09:39:42,2024-02-06 09:39:42,,True,False,SMTP:mjones@phscripts.com;smtp:michael.jones@alias.phscripts.com,mjones,512,Permanent,MJ,TC372,\\fileserver\home\mjones,H:,logon.bat,\\server\profiles\mjones,2024-10-25 09:39:42,1,True,policy,guess,affect
Kevin,Perry,Kevin Perry,kperry@contoso.com,kperry,kperry@contoso.com,Sales,Administrator,HQ,Contoso,USA,Stevensfort,Arizona,34752,728 Andrew Meadows Suite 106,+1-846-358-5434x18496,875-925-3026,27055,john.doe@contoso.com,Administrator in Sales,2024-02-16 07:18:24,2024-12-23 07:18:24,2024-02-21 07:18:24,,False,False,SMTP:kperry@contoso.com;smtp:kevin.perry@alias.contoso.com,kperry,544,Permanent,KP,TC473,\\fileserver\home\kperry,H:,logon.bat,\\server\profiles\kperry,2024-11-04 07:18:24,8,False,dinner,ever,federal
Eduardo,Myers,Eduardo Myers,emyers@phinit.com,emyers,emyers@phinit.com,Support,Consultant,Regional Office,PhinIT,USA,Port Matthewtown,Oklahoma,14330,02181 Mcdonald Meadows Suite 078,952-065-3565x64535,+1-337-406-8315x06484,32262,max.mustermann@phinit.com,Consultant in Support,2024-03-17 09:26:41,2025-02-12 09:26:41,2024-03-22 09:26:41,,True,True,SMTP:emyers@phinit.com;smtp:eduardo.myers@alias.phinit.com,emyers,544,Permanent,EM,TC720,\\fileserver\home\emyers,H:,logon.bat,\\server\profiles\emyers,2025-01-19 09:26:41,5,True,thousand,memory,candidate
Darrell,Ramos,Darrell Ramos,dramos@psscripts.com,dramos,dramos@psscripts.com,IT,Engineer,HQ,PSscripts,USA,West Loriside,Nevada,79934,7796 Turner Loaf,(438)898-2348x44188,(702)812-4958,55544,john.doe@psscripts.com,Engineer in IT,2024-05-31 05:09:21,2024-11-27 05:09:21,2024-06-05 05:09:21,,False,True,SMTP:dramos@psscripts.com;smtp:darrell.ramos@alias.psscripts.com,dramos,514,Intern,DR,TC963,\\fileserver\home\dramos,H:,logon.bat,\\server\profiles\dramos,2024-10-19 05:09:21,3,False,recent,other,no
Allison,Hensley,Allison Hensley,ahensley@phscripts.com,ahensley,ahensley@phscripts.com,Marketing,Engineer,Branch West,PHscripts,USA,Smithside,Massachusetts,92748,5762 Johnston Plains,257-106-6954x2068,+1-504-570-0515x59521,60721,john.doe@phscripts.com,Engineer in Marketing,2024-01-07 16:33:54,2024-02-14 16:33:54,2024-01-12 16:33:54,,True,True,SMTP:ahensley@phscripts.com;smtp:allison.hensley@alias.phscripts.com,ahensley,544,Permanent,AH,TC257,\\fileserver\home\ahensley,H:,logon.bat,\\server\profiles\ahensley,2024-01-19 16:33:54,8,True,then,particular,management
Kaylee,Olson,Kaylee Olson,kolson@contoso.com,kolson,kolson@contoso.com,Support,Administrator,HQ,Contoso,USA,Port James,Texas,31634,378 Gonzales Inlet Apt. 884,351.982.8509x52316,3021466808,62247,john.doe@contoso.com,Administrator in Support,2023-07-24 08:55:54,2024-07-14 08:55:54,2023-07-29 08:55:54,,False,False,SMTP:kolson@contoso.com;smtp:kaylee.olson@alias.contoso.com,kolson,512,Intern,KO,TC675,\\fileserver\home\kolson,H:,logon.bat,\\server\profiles\kolson,2024-06-27 08:55:54,2,False,high,week,we
John,Jones,John Jones,jjones@phinit.com,jjones,jjones@phinit.com,Support,Manager,Remote,PhinIT,USA,Port Alexandrafurt,Oregon,73926,03824 Gomez Road Apt. 016,(457)043-3827,348-927-7097x136,73202,max.mustermann@phinit.com,Manager in Support,2023-08-03 02:21:50,2024-06-09 02:21:50,2023-08-08 02:21:50,,True,False,SMTP:jjones@phinit.com;smtp:john.jones@alias.phinit.com,jjones,544,Permanent,JJ,TC976,\\fileserver\home\jjones,H:,logon.bat,\\server\profiles\jjones,2024-05-02 02:21:50,10,True,night,represent,food
Danny,Davis,Danny Davis,ddavis@psscripts.com,ddavis,ddavis@psscripts.com,Finance,Consultant,HQ,PSscripts,USA,Anthonytown,Georgia,42684,07377 Foster Rue,(791)023-7696,388-487-3119x54091,68264,max.mustermann@psscripts.com,Consultant in Finance,2024-01-20 09:55:39,2025-01-13 09:55:39,2024-01-25 09:55:39,,False,True,SMTP:ddavis@psscripts.com;smtp:danny.davis@alias.psscripts.com,ddavis,512,Permanent,DD,TC182,\\fileserver\home\ddavis,H:,logon.bat,\\server\profiles\ddavis,2024-11-14 09:55:39,4,False,artist,talk,receive
